url,title,date,summary
https://www.detik.com/jabar/berita/d-6935789/mesin-diesel-penggilingan-perenggut-nyawa-wawan-di-tasikmalaya,Mesin Diesel Penggilingan Perenggut Nyawa Wawan di Tasikmalaya,2023-09-17 19:15:00,"Nasib tragis dialami Wawan Saefulloh (58), warga Cisayong, Kabupaten Tasikmalaya. Nyawanya melayang setelah terlilit putaran mesin penggilingan gabah."
https://www.detik.com/jabar/wisata/d-6935375/5-singkatan-jalan-yang-kerap-bikin-bingung-warga-luar-tasikmalaya,5 Singkatan Jalan yang Kerap Bikin Bingung Warga Luar Tasikmalaya,2023-09-17 16:00:00,Masyarakat Kota Tasikmalaya memiliki kearifan lokal untuk penamaan daerah atau wilayah tertentu. Beberapa nama wilayah dilafalkan dengan cara disingkat.
https://www.detik.com/jabar/berita/d-6934422/konser-gigi-di-tasikmalaya-batal-saat-hari-h-penggemar-kecewa,"Konser GIGI di Tasikmalaya Batal Saat Hari H, Penggemar Kecewa",2023-09-16 13:28:00,"Konser Gigi, RAN dan musisi ternama lainnya di area parkir Asia Plaza, Tasikmalaya dibatalkan pada hari-H. Hal itu membuat penggemar musik kecewa."
https://www.detik.com/jabar/berita/d-6933475/deretan-penjabat-yang-jadi-kepala-daerah-di-jabar,Deretan Penjabat yang Jadi Kepala Daerah di Jabar,2023-09-16 07:31:00,Enam daerah di Jawa Barat punya kepala daerah baru setelah Kementerian Dalam Negeri (Kemendagri) menunjuk enam nama menjadi Penjabat (Pj) Bupati dan Wali Kota.
https://www.detik.com/jabar/hukum-dan-kriminal/d-6933830/aksi-heroik-dede-emak-emak-tasikmalaya-jatuh-bangun-kejar-jambret,"Aksi Heroik Dede Emak-emak Tasikmalaya, Jatuh-Bangun Kejar Jambret",2023-09-15 22:10:00,"Warga Tasikmalaya, Dede Sumartini (50) bisa bernapas lega, pasalnya sepeda motor yang digunakan jambret yang merampas tasnya mogok tak lama setelah beraksi di"
https://www.detik.com/edu/edutainment/d-6933141/kisah-annisa-raih-sumpah-dokter-lewat-beasiswa-bidikmisi,"Kisah Annisa, Raih Sumpah Dokter Lewat Beasiswa Bidikmisi",2023-09-15 18:30:00,"Annisa merupakan salah satu yang diambil sumpahnya pada Wisuda Profesi ke-65 Fakultas Kedokteran, Universitas Jenderal Soedirman. Begini perjuangannya."
https://www.detik.com/jabar/berita/d-6932111/daftar-6-pj-bupatiwali-kota-di-jabar-yang-segera-dilantik,Daftar 6 Pj Bupati/Wali Kota di Jabar yang Segera Dilantik,2023-09-15 08:40:00,Kemendagri sudah menetapkan enam penjabat bupati dan wali kota di Jabar. Berikut ini nama-namanya.
https://www.detik.com/jabar/berita/d-6931513/jabar-hari-ini-nasib-tragis-wawan-hingga-tendangan-maut-perenggut-nyawa,Jabar Hari Ini: Nasib Tragis Wawan hingga Tendangan Maut Perenggut Nyawa,2023-09-14 22:01:00,Beragam peristiwa terjadi di Jabar hari ini. Mulai dari nasib tragis Wawan tewas tergiling mesin hingga peluang Ridwan Kamil dampingi Prabowo.
https://www.detik.com/jabar/berita/d-6931486/4-pria-mabuk-dicokok-polisi-usai-berulah-di-pilkades-tasikmalaya,4 Pria Mabuk Dicokok Polisi Usai Berulah di Pilkades Tasikmalaya,2023-09-14 17:43:00,Polisi mengamankan empat pria yang dianggap berbuat onar di lokasi Pilkades Tasikmalaya. Dalam kondisi mabuk mereka mengganggu proses pemungutan suara.
https://www.detik.com/jabar/berita/d-6931306/nasib-tragis-wawan-di-pabrik-penggilingan-gabah-tasikmalaya,Nasib Tragis Wawan di Pabrik Penggilingan Gabah Tasikmalaya,2023-09-14 16:48:00,"Kecelakaan kerja yang berakibat fatal terjadi di pabrik penggilingan gabah di Cipedes, Kota Tasikmalaya, Kamis (14/9/2023) siang. Satu pekerja tewas."
https://www.detik.com/jabar/berita/d-6928608/semringah-warga-tasikmalaya-dapat-bantuan-sumur-bor-di-tengah-krisis-air,Semringah Warga Tasikmalaya Dapat Bantuan Sumur Bor di Tengah Krisis Air,2023-09-13 17:00:00,Warga RW 04 Kampung Cibangbay Kelurahan Setiawargi Kecamatan Tamansari Kota Tasikmalaya semringah karena adanya pembangunan sumur bor.
https://www.detik.com/jabar/hukum-dan-kriminal/d-6927675/polisi-pastikan-fajar-dikeroyok-sebelum-tewas-di-bawah-jembatan-tasik,Polisi Pastikan Fajar Dikeroyok Sebelum Tewas di Bawah Jembatan Tasik,2023-09-12 20:26:00,Polisi memastikan Fajar Muhamad Nuralam (26) dikeroyok sekelompok orang sebelum ditemukan tewas di bawah jembatan.
https://www.detik.com/jabar/berita/d-6927030/dprd-jabar-ungkap-progres-terkini-cdpob-subang-utara,DPRD Jabar Ungkap Progres Terkini CDPOB Subang Utara,2023-09-12 15:33:00,"Subang Utara menjadi salah satu daerah yang telah diusulkan menjadi CDPOB di Jabar. Kini, DPRD Jabar tengah melakukan penataan pada daerah tersebut."
https://www.detik.com/jabar/berita/d-6926601/pilu-keluarga-pemuda-yang-ditemukan-tewas-di-bawah-jembatan-tasik,Pilu Keluarga Pemuda yang Ditemukan Tewas di Bawah Jembatan Tasik,2023-09-12 12:46:00,"Kematian Fajar Muhamad Nuralam (26), warga Kampung Kebon Tengah, Kota Tasikmalaya menyisakan luka mendalam bagi pihak keluarga."
https://www.detik.com/jabar/berita/d-6924382/markas-damkar-tasik-masih-di-kolam-ikan-saat-kebakaran-meningkat,Markas Damkar Tasik Masih di Kolam Ikan Saat Kebakaran Meningkat,2023-09-11 12:30:00,"Intensitas kebakaran di Kota Tasikmalaya masih meningkat. Tetapi sarana dan prasarana Damkar Tasikmalaya masih minim, dan masih bermarkas di kolam ikan."
https://www.detik.com/jabar/hukum-dan-kriminal/d-6921966/polisi-temukan-celurit-di-tkp-pria-tewas-dengan-luka-bacok,Polisi Temukan Celurit di TKP Pria Tewas dengan Luka Bacok,2023-09-09 13:46:00,"Polisi masih melakukan penyelidikan terkait kasus kematian Fajar Muhamad Nuralam (26), warga Kota Tasikmalaya. Korban ditemukan tewas di bawah jembatan."
